avg_reward,epoch,lr-Adam,step,train_loss
,47,,3249,1.074812889099121
,,0.0006561000000000001,3299,
,47,,3299,1.086190938949585
-12.600000381469727,47,,3331,
,,0.0006561000000000001,3349,
,48,,3349,5.9349212646484375
,,0.0006561000000000001,3399,
,48,,3399,3.252324104309082
,,0.0006561000000000001,3449,
,48,,3449,0.6582451462745667
-11.949999809265137,48,,3466,
,,0.0006561000000000001,3499,
,49,,3499,3.5028648376464844
,,0.0006561000000000001,3549,
,49,,3549,0.8111448287963867
,,0.0006561000000000001,3599,
,49,,3599,1.7544333934783936
-9.989999771118164,49,,3605,
